batter,avg_total_runs,avg_strike_rate,avg_runs_vs_Chennai Super Kings,avg_runs_vs_Deccan Chargers,avg_runs_vs_Delhi Capitals,avg_runs_vs_Delhi Daredevils,avg_runs_vs_Gujarat Lions,avg_runs_vs_Gujarat Titans,avg_runs_vs_Kings XI Punjab,avg_runs_vs_Kochi Tuskers Kerala,avg_runs_vs_Kolkata Knight Riders,avg_runs_vs_Lucknow Super Giants,avg_runs_vs_Mumbai Indians,avg_runs_vs_Pune Warriors,avg_runs_vs_Punjab Kings,avg_runs_vs_Rajasthan Royals,avg_runs_vs_Rising Pune Supergiant,avg_runs_vs_Rising Pune Supergiants,avg_runs_vs_Royal Challengers Bangalore,avg_runs_vs_Royal Challengers Bengaluru,avg_runs_vs_Sunrisers Hyderabad,avg_runs_at_stadium,avg_runs_vs_team
Mohammad Nabi,4.0,57.14285714285714,4.0,0.0,14.666666666666666,0.0,0.0,0.0,9.5,0.0,12.5,1.0,16.25,0.0,0.0,20.0,0.0,0.0,4.0,0.0,0.0,10.642857142857142,9.101851851851851
Mohammed Shami,5.0,57.142857142857146,5.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,2.0,0.0,4.5,0.0,0.0,5.0,2.0,2.0,11.0,0.0,1.0,2.836734693877551,3.409090909090909
Mohammed Siraj,7.25,63.96103896103896,7.25,0.0,3.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,4.0,0.0,4.5,6.666666666666667,0.0,0.0,0.0,0.0,4.25,5.260416666666667,5.458333333333333
Mohit Rathee,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Mohsin Khan,1.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,9.0,0.0,0.0,0.0,0.0,0.0,4.5,4.375
Mujeeb Ur Rahman,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6666666666666665,1.4,1.1666666666666665
Mukesh Choudhary,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
Mukesh Kumar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,3.0,0.0,1.75,2.0
Mustafizur Rahman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.125,1.7
N Jagadeesan,1.0,33.33333333333333,1.0,0.0,0.0,0.0,0.0,21.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,30.0,0.0,36.0,15.023809523809524,14.888888888888888
